
-------------------------------------------------------------------
GMS: address=vagrant-64718, cluster=AV, physical address=10.0.2.15:56557
-------------------------------------------------------------------
18:26:51.299 [main] INFO  AV.VCU - waiting on readyToRun...
18:26:51.571 [main] INFO  AV.VCU - ...synchronized on readyToRun
18:26:51.578 [main] INFO  AV.VCU - started logical time progression
18:26:51.580 [main] INFO  AV.VCU -  notif as received 0
 obstacle NOT detected 0 time 0
18:26:51.611 [main] INFO  AV.VCU -  OSD 00 currentime 0.0
18:26:51.738 [main] INFO  AV.VCU -  notif as received 0
18:26:53.240 [main] INFO  AV.VCU -  notif as received 0
18:26:53.302 [main] INFO  AV.VCU -  notif as received false
18:26:53.363 [main] INFO  AV.VCU -  notif as received false
18:26:53.429 [main] INFO  AV.VCU -  notif as received false
18:26:53.538 [main] INFO  AV.VCU -  notif as received false
18:26:53.591 [main] INFO  AV.VCU -  notif as received false
18:26:53.715 [main] INFO  AV.VCU -  notif as received false
18:26:53.939 [main] INFO  AV.VCU -  notif as received false
18:26:53.952 [main] INFO  AV.VCU -  notif as received false
18:26:54.049 [main] INFO  AV.VCU -  notif as received false
18:26:54.135 [main] INFO  AV.VCU -  notif as received false
18:26:54.184 [main] INFO  AV.VCU -  notif as received false
18:26:54.260 [main] INFO  AV.VCU -  notif as received false
18:26:54.319 [main] INFO  AV.VCU -  notif as received false
18:26:54.403 [main] INFO  AV.VCU -  notif as received false
18:26:54.472 [main] INFO  AV.VCU -  notif as received false
18:26:54.554 [main] INFO  AV.VCU -  notif as received false
18:26:54.612 [main] INFO  AV.VCU -  notif as received false
18:26:54.700 [main] INFO  AV.VCU -  notif as received false
 obstacle NOT detected 0 time 1
18:26:54.716 [main] INFO  AV.VCU -  OSD 00 currentime 20.0
18:26:54.772 [main] INFO  AV.VCU -  notif as received false
18:26:54.902 [main] INFO  AV.VCU -  notif as received false
18:26:54.958 [main] INFO  AV.VCU -  notif as received false
18:26:55.042 [main] INFO  AV.VCU -  notif as received false
18:26:55.099 [main] INFO  AV.VCU -  notif as received false
18:26:55.195 [main] INFO  AV.VCU -  notif as received false
18:26:55.247 [main] INFO  AV.VCU -  notif as received false
18:26:55.345 [main] INFO  AV.VCU -  notif as received false
18:26:55.417 [main] INFO  AV.VCU -  notif as received false
18:26:55.489 [main] INFO  AV.VCU -  notif as received false
18:26:55.545 [main] INFO  AV.VCU -  notif as received false
18:26:55.655 [main] INFO  AV.VCU -  notif as received false
18:26:55.713 [main] INFO  AV.VCU -  notif as received false
18:26:55.769 [main] INFO  AV.VCU -  notif as received false
18:26:55.807 [main] INFO  AV.VCU -  notif as received false
18:26:55.875 [main] INFO  AV.VCU -  notif as received false
18:26:55.940 [main] INFO  AV.VCU -  notif as received false
18:26:56.014 [main] INFO  AV.VCU -  notif as received false
18:26:56.070 [main] INFO  AV.VCU -  notif as received false
18:26:56.126 [main] INFO  AV.VCU -  notif as received false
 obstacle NOT detected 0 time 2
18:26:56.150 [main] INFO  AV.VCU -  OSD 00 currentime 40.0
18:26:56.190 [main] INFO  AV.VCU -  notif as received false
18:26:56.303 [main] INFO  AV.VCU -  notif as received false
