
-------------------------------------------------------------------
GMS: address=vagrant-8534, cluster=AV, physical address=10.0.2.15:45792
-------------------------------------------------------------------
14:24:30.095 [main] INFO  AV.VCU - waiting on readyToRun...
14:24:30.354 [main] INFO  AV.VCU - ...synchronized on readyToRun
14:24:30.356 [main] INFO  AV.VCU - started logical time progression
14:24:30.363 [main] INFO  AV.VCU -  OSD 00 currentime 0.0
14:24:32.543 [main] INFO  AV.VCU -  OSD 00 currentime 20.0
14:24:33.751 [main] INFO  AV.VCU -  OSD 00 currentime 40.0
14:24:34.916 [main] INFO  AV.VCU -  OSD 00 currentime 60.0
14:24:36.027 [main] INFO  AV.VCU -  OSD 00 currentime 80.0
14:24:37.448 [main] INFO  AV.VCU -  OSD 00 currentime 100.0
14:24:38.605 [main] INFO  AV.VCU -  OSD 00 currentime 120.0
14:24:39.795 [main] INFO  AV.VCU -  OSD 00 currentime 140.0
14:24:40.932 [main] INFO  AV.VCU -  OSD 00 currentime 160.0
14:24:42.027 [main] INFO  AV.VCU -  OSD 00 currentime 180.0
14:24:43.840 [main] INFO  AV.VCU -  OSD 00 currentime 200.0
14:24:44.934 [main] INFO  AV.VCU -  OSD 00 currentime 220.0
14:24:46.036 [main] INFO  AV.VCU -  OSD 00 currentime 240.0
14:24:47.154 [main] INFO  AV.VCU -  OSD 00 currentime 260.0
14:24:48.215 [main] INFO  AV.VCU -  OSD 00 currentime 280.0
14:24:49.412 [main] INFO  AV.VCU -  OSD 00 currentime 300.0
14:24:50.676 [main] INFO  AV.VCU -  OSD 00 currentime 320.0
14:24:51.783 [main] INFO  AV.VCU -  OSD 00 currentime 340.0
14:24:52.802 [main] INFO  AV.VCU -  OSD 00 currentime 360.0
14:24:53.869 [main] INFO  AV.VCU -  OSD 00 currentime 380.0
14:24:54.914 [main] INFO  AV.VCU -  OSD 00 currentime 400.0
14:24:56.025 [main] INFO  AV.VCU -  OSD 00 currentime 420.0
14:24:57.129 [main] INFO  AV.VCU -  OSD 00 currentime 440.0
14:24:58.134 [main] INFO  AV.VCU -  OSD 00 currentime 460.0
14:24:59.171 [main] INFO  AV.VCU -  OSD 00 currentime 480.0
14:25:00.179 [main] INFO  AV.VCU -  OSD 00 currentime 500.0
14:25:01.234 [main] INFO  AV.VCU -  OSD 00 currentime 520.0
14:25:02.273 [main] INFO  AV.VCU -  OSD 00 currentime 540.0
14:25:03.355 [main] INFO  AV.VCU -  OSD 00 currentime 560.0
14:25:04.419 [main] INFO  AV.VCU -  OSD 00 currentime 580.0
14:25:05.482 [main] INFO  AV.VCU -  OSD 00 currentime 600.0
14:25:06.513 [main] INFO  AV.VCU -  OSD 00 currentime 620.0
14:25:07.593 [main] INFO  AV.VCU -  OSD 00 currentime 640.0
14:25:08.607 [main] INFO  AV.VCU -  OSD 00 currentime 660.0
