
-------------------------------------------------------------------
GMS: address=vagrant-47696, cluster=AV, physical address=10.0.2.15:41138
-------------------------------------------------------------------
18:09:58.840 [main] INFO  AV.VCU - waiting on readyToRun...
18:09:59.101 [main] INFO  AV.VCU - ...synchronized on readyToRun
18:09:59.104 [main] INFO  AV.VCU - started logical time progression
18:09:59.105 [main] INFO  AV.VCU -  notif as received 0
 obstacle NOT detected 0 time 0
18:09:59.132 [main] INFO  AV.VCU -  OSD 00 currentime 0.0
18:09:59.190 [main] INFO  AV.VCU -  notif as received 0
18:10:00.292 [main] INFO  AV.VCU -  notif as received false
18:10:00.350 [main] INFO  AV.VCU -  notif as received false
18:10:00.444 [main] INFO  AV.VCU -  notif as received false
18:10:00.509 [main] INFO  AV.VCU -  notif as received false
18:10:00.616 [main] INFO  AV.VCU -  notif as received false
18:10:00.680 [main] INFO  AV.VCU -  notif as received false
18:10:00.835 [main] INFO  AV.VCU -  notif as received false
18:10:00.900 [main] INFO  AV.VCU -  notif as received false
18:10:01.040 [main] INFO  AV.VCU -  notif as received false
18:10:01.302 [main] INFO  AV.VCU -  notif as received false
18:10:01.314 [main] INFO  AV.VCU -  notif as received false
18:10:01.403 [main] INFO  AV.VCU -  notif as received false
18:10:01.504 [main] INFO  AV.VCU -  notif as received false
18:10:01.560 [main] INFO  AV.VCU -  notif as received false
18:10:01.654 [main] INFO  AV.VCU -  notif as received false
18:10:01.715 [main] INFO  AV.VCU -  notif as received false
18:10:01.834 [main] INFO  AV.VCU -  notif as received false
18:10:01.918 [main] INFO  AV.VCU -  notif as received false
18:10:01.982 [main] INFO  AV.VCU -  notif as received false
 obstacle NOT detected 0 time 1
18:10:02.038 [main] INFO  AV.VCU -  OSD 00 currentime 20.0
18:10:02.139 [main] INFO  AV.VCU -  notif as received false
18:10:02.255 [main] INFO  AV.VCU -  notif as received false
18:10:02.306 [main] INFO  AV.VCU -  notif as received false
18:10:02.387 [main] INFO  AV.VCU -  notif as received false
18:10:02.439 [main] INFO  AV.VCU -  notif as received false
18:10:02.509 [main] INFO  AV.VCU -  notif as received false
18:10:02.563 [main] INFO  AV.VCU -  notif as received false
18:10:02.618 [main] INFO  AV.VCU -  notif as received false
18:10:02.673 [main] INFO  AV.VCU -  notif as received false
18:10:02.746 [main] INFO  AV.VCU -  notif as received false
18:10:02.800 [main] INFO  AV.VCU -  notif as received false
18:10:02.861 [main] INFO  AV.VCU -  notif as received false
18:10:02.910 [main] INFO  AV.VCU -  notif as received false
18:10:02.958 [main] INFO  AV.VCU -  notif as received false
18:10:03.015 [main] INFO  AV.VCU -  notif as received false
18:10:03.082 [main] INFO  AV.VCU -  notif as received false
18:10:03.129 [main] INFO  AV.VCU -  notif as received false
18:10:03.208 [main] INFO  AV.VCU -  notif as received false
18:10:03.271 [main] INFO  AV.VCU -  notif as received false
18:10:03.324 [main] INFO  AV.VCU -  notif as received false
 obstacle NOT detected 0 time 2
18:10:03.360 [main] INFO  AV.VCU -  OSD 00 currentime 40.0
18:10:03.388 [main] INFO  AV.VCU -  notif as received false
18:10:03.478 [main] INFO  AV.VCU -  notif as received false
18:10:03.535 [main] INFO  AV.VCU -  notif as received false
18:10:03.615 [main] INFO  AV.VCU -  notif as received false
18:10:03.669 [main] INFO  AV.VCU -  notif as received false
18:10:03.756 [main] INFO  AV.VCU -  notif as received false
18:10:03.810 [main] INFO  AV.VCU -  notif as received false
18:10:03.881 [main] INFO  AV.VCU -  notif as received false
18:10:03.939 [main] INFO  AV.VCU -  notif as received false
18:10:04.024 [main] INFO  AV.VCU -  notif as received false
18:10:04.064 [main] INFO  AV.VCU -  notif as received false
