
-------------------------------------------------------------------
GMS: address=vagrant-32727, cluster=AV, physical address=10.0.2.15:35464
-------------------------------------------------------------------
15:45:01.679 [main] INFO  AV.VCU - waiting on readyToRun...
15:45:01.933 [main] INFO  AV.VCU - ...synchronized on readyToRun
15:45:01.937 [main] INFO  AV.VCU - started logical time progression
15:45:01.937 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 0
15:45:01.952 [main] INFO  AV.VCU -  OSD 00 currentime 0.0
15:45:02.152 [main] INFO  AV.VCU -  notif as received 0
15:45:02.843 [main] INFO  AV.VCU -  notif as received 0
15:45:02.895 [main] INFO  AV.VCU -  notif as received 0
15:45:02.957 [main] INFO  AV.VCU -  notif as received 0
15:45:03.010 [main] INFO  AV.VCU -  notif as received 0
15:45:03.063 [main] INFO  AV.VCU -  notif as received 0
15:45:03.115 [main] INFO  AV.VCU -  notif as received 0
15:45:03.162 [main] INFO  AV.VCU -  notif as received 0
15:45:03.290 [main] INFO  AV.VCU -  notif as received 0
15:45:03.342 [main] INFO  AV.VCU -  notif as received 0
15:45:03.379 [main] INFO  AV.VCU -  notif as received 0
15:45:03.443 [main] INFO  AV.VCU -  notif as received 0
15:45:03.495 [main] INFO  AV.VCU -  notif as received 0
15:45:03.551 [main] INFO  AV.VCU -  notif as received 0
15:45:03.610 [main] INFO  AV.VCU -  notif as received 0
15:45:03.664 [main] INFO  AV.VCU -  notif as received 0
15:45:03.715 [main] INFO  AV.VCU -  notif as received 0
15:45:03.780 [main] INFO  AV.VCU -  notif as received 0
15:45:03.832 [main] INFO  AV.VCU -  notif as received 0
15:45:03.876 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 1
15:45:03.881 [main] INFO  AV.VCU -  OSD 00 currentime 20.0
15:45:03.933 [main] INFO  AV.VCU -  notif as received 0
15:45:03.993 [main] INFO  AV.VCU -  notif as received 0
15:45:04.049 [main] INFO  AV.VCU -  notif as received 0
15:45:04.090 [main] INFO  AV.VCU -  notif as received 0
15:45:04.141 [main] INFO  AV.VCU -  notif as received 0
15:45:04.190 [main] INFO  AV.VCU -  notif as received 0
15:45:04.243 [main] INFO  AV.VCU -  notif as received 0
15:45:04.293 [main] INFO  AV.VCU -  notif as received 0
15:45:04.351 [main] INFO  AV.VCU -  notif as received 0
15:45:04.397 [main] INFO  AV.VCU -  notif as received 0
15:45:04.450 [main] INFO  AV.VCU -  notif as received 0
15:45:04.509 [main] INFO  AV.VCU -  notif as received 0
15:45:04.560 [main] INFO  AV.VCU -  notif as received 0
15:45:04.610 [main] INFO  AV.VCU -  notif as received 0
15:45:04.651 [main] INFO  AV.VCU -  notif as received 0
15:45:04.710 [main] INFO  AV.VCU -  notif as received 0
15:45:04.782 [main] INFO  AV.VCU -  notif as received 0
15:45:04.830 [main] INFO  AV.VCU -  notif as received 0
15:45:04.885 [main] INFO  AV.VCU -  notif as received 0
15:45:04.939 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 2
15:45:04.942 [main] INFO  AV.VCU -  OSD 00 currentime 40.0
15:45:04.983 [main] INFO  AV.VCU -  notif as received 0
15:45:05.044 [main] INFO  AV.VCU -  notif as received 0
15:45:05.093 [main] INFO  AV.VCU -  notif as received 0
15:45:05.156 [main] INFO  AV.VCU -  notif as received 0
15:45:05.212 [main] INFO  AV.VCU -  notif as received 0
15:45:05.280 [main] INFO  AV.VCU -  notif as received 0
15:45:05.328 [main] INFO  AV.VCU -  notif as received 0
15:45:05.375 [main] INFO  AV.VCU -  notif as received 0
15:45:05.431 [main] INFO  AV.VCU -  notif as received 0
15:45:05.486 [main] INFO  AV.VCU -  notif as received 0
15:45:05.527 [main] INFO  AV.VCU -  notif as received 0
15:45:05.609 [main] INFO  AV.VCU -  notif as received 0
15:45:05.653 [main] INFO  AV.VCU -  notif as received 0
15:45:05.716 [main] INFO  AV.VCU -  notif as received 0
15:45:05.758 [main] INFO  AV.VCU -  notif as received 0
15:45:05.814 [main] INFO  AV.VCU -  notif as received 0
15:45:05.864 [main] INFO  AV.VCU -  notif as received 0
15:45:05.910 [main] INFO  AV.VCU -  notif as received 0
15:45:05.966 [main] INFO  AV.VCU -  notif as received 0
15:45:06.020 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 3
15:45:06.025 [main] INFO  AV.VCU -  OSD 00 currentime 60.0
15:45:06.073 [main] INFO  AV.VCU -  notif as received 0
15:45:06.127 [main] INFO  AV.VCU -  notif as received 0
15:45:06.180 [main] INFO  AV.VCU -  notif as received 0
15:45:06.249 [main] INFO  AV.VCU -  notif as received 0
15:45:06.302 [main] INFO  AV.VCU -  notif as received 0
15:45:06.353 [main] INFO  AV.VCU -  notif as received 0
15:45:06.422 [main] INFO  AV.VCU -  notif as received 0
15:45:06.482 [main] INFO  AV.VCU -  notif as received 0
15:45:06.518 [main] INFO  AV.VCU -  notif as received 0
15:45:06.583 [main] INFO  AV.VCU -  notif as received 0
15:45:06.642 [main] INFO  AV.VCU -  notif as received 0
15:45:06.684 [main] INFO  AV.VCU -  notif as received 0
15:45:06.738 [main] INFO  AV.VCU -  notif as received 0
15:45:06.817 [main] INFO  AV.VCU -  notif as received 0
15:45:06.868 [main] INFO  AV.VCU -  notif as received 0
15:45:06.914 [main] INFO  AV.VCU -  notif as received 0
15:45:06.971 [main] INFO  AV.VCU -  notif as received 0
15:45:07.020 [main] INFO  AV.VCU -  notif as received 0
15:45:07.077 [main] INFO  AV.VCU -  notif as received 0
15:45:07.121 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 4
15:45:07.126 [main] INFO  AV.VCU -  OSD 00 currentime 80.0
15:45:07.172 [main] INFO  AV.VCU -  notif as received 0
15:45:07.302 [main] INFO  AV.VCU -  notif as received 0
15:45:07.340 [main] INFO  AV.VCU -  notif as received 0
15:45:07.391 [main] INFO  AV.VCU -  notif as received 0
15:45:07.446 [main] INFO  AV.VCU -  notif as received 0
15:45:07.493 [main] INFO  AV.VCU -  notif as received 0
15:45:07.546 [main] INFO  AV.VCU -  notif as received 0
15:45:07.580 [main] INFO  AV.VCU -  notif as received 0
15:45:07.651 [main] INFO  AV.VCU -  notif as received 0
15:45:07.705 [main] INFO  AV.VCU -  notif as received 0
15:45:07.760 [main] INFO  AV.VCU -  notif as received 0
15:45:07.792 [main] INFO  AV.VCU -  notif as received 0
15:45:07.856 [main] INFO  AV.VCU -  notif as received 0
15:45:07.886 [main] INFO  AV.VCU -  notif as received 0
15:45:07.962 [main] INFO  AV.VCU -  notif as received 0
15:45:07.989 [main] INFO  AV.VCU -  notif as received 0
15:45:08.072 [main] INFO  AV.VCU -  notif as received 0
15:45:08.107 [main] INFO  AV.VCU -  notif as received 0
15:45:08.179 [main] INFO  AV.VCU -  notif as received 0
15:45:08.204 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 5
