
-------------------------------------------------------------------
GMS: address=vagrant-30859, cluster=AV, physical address=10.0.2.15:45854
-------------------------------------------------------------------
15:41:12.891 [main] INFO  AV.VCU - waiting on readyToRun...
15:41:13.160 [main] INFO  AV.VCU - ...synchronized on readyToRun
15:41:13.165 [main] INFO  AV.VCU - started logical time progression
15:41:13.165 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 0
15:41:13.192 [main] INFO  AV.VCU -  OSD 00 currentime 0.0
15:41:13.409 [main] INFO  AV.VCU -  notif as received 0
15:41:14.683 [main] INFO  AV.VCU -  notif as received 0
15:41:14.736 [main] INFO  AV.VCU -  notif as received 0
15:41:14.828 [main] INFO  AV.VCU -  notif as received 0
15:41:14.884 [main] INFO  AV.VCU -  notif as received 0
15:41:14.968 [main] INFO  AV.VCU -  notif as received 0
15:41:15.032 [main] INFO  AV.VCU -  notif as received 0
15:41:15.104 [main] INFO  AV.VCU -  notif as received 0
15:41:15.162 [main] INFO  AV.VCU -  notif as received 0
15:41:15.253 [main] INFO  AV.VCU -  notif as received 0
15:41:15.311 [main] INFO  AV.VCU -  notif as received 0
15:41:15.414 [main] INFO  AV.VCU -  notif as received 0
15:41:15.603 [main] INFO  AV.VCU -  notif as received 0
15:41:15.688 [main] INFO  AV.VCU -  notif as received 0
15:41:15.743 [main] INFO  AV.VCU -  notif as received 0
15:41:15.808 [main] INFO  AV.VCU -  notif as received 0
15:41:15.853 [main] INFO  AV.VCU -  notif as received 0
15:41:15.966 [main] INFO  AV.VCU -  notif as received 0
15:41:16.010 [main] INFO  AV.VCU -  notif as received 0
15:41:16.071 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 1
15:41:16.087 [main] INFO  AV.VCU -  OSD 00 currentime 20.0
15:41:16.136 [main] INFO  AV.VCU -  notif as received 0
15:41:16.267 [main] INFO  AV.VCU -  notif as received 0
15:41:16.320 [main] INFO  AV.VCU -  notif as received 0
15:41:16.407 [main] INFO  AV.VCU -  notif as received 0
15:41:16.467 [main] INFO  AV.VCU -  notif as received 0
15:41:16.563 [main] INFO  AV.VCU -  notif as received 0
15:41:16.614 [main] INFO  AV.VCU -  notif as received 0
15:41:16.692 [main] INFO  AV.VCU -  notif as received 0
15:41:16.750 [main] INFO  AV.VCU -  notif as received 0
15:41:16.825 [main] INFO  AV.VCU -  notif as received 0
15:41:16.885 [main] INFO  AV.VCU -  notif as received 0
15:41:16.952 [main] INFO  AV.VCU -  notif as received 0
15:41:17.008 [main] INFO  AV.VCU -  notif as received 0
15:41:17.067 [main] INFO  AV.VCU -  notif as received 0
15:41:17.125 [main] INFO  AV.VCU -  notif as received 0
15:41:17.185 [main] INFO  AV.VCU -  notif as received 0
15:41:17.251 [main] INFO  AV.VCU -  notif as received 0
15:41:17.314 [main] INFO  AV.VCU -  notif as received 0
15:41:17.363 [main] INFO  AV.VCU -  notif as received 0
15:41:17.441 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 2
15:41:17.449 [main] INFO  AV.VCU -  OSD 00 currentime 40.0
15:41:17.489 [main] INFO  AV.VCU -  notif as received 0
15:41:17.589 [main] INFO  AV.VCU -  notif as received 0
15:41:17.651 [main] INFO  AV.VCU -  notif as received 0
15:41:17.710 [main] INFO  AV.VCU -  notif as received 0
15:41:17.759 [main] INFO  AV.VCU -  notif as received 0
15:41:17.823 [main] INFO  AV.VCU -  notif as received 0
15:41:17.875 [main] INFO  AV.VCU -  notif as received 0
15:41:17.928 [main] INFO  AV.VCU -  notif as received 0
15:41:17.979 [main] INFO  AV.VCU -  notif as received 0
15:41:18.070 [main] INFO  AV.VCU -  notif as received 0
15:41:18.131 [main] INFO  AV.VCU -  notif as received 0
15:41:18.188 [main] INFO  AV.VCU -  notif as received 0
15:41:18.248 [main] INFO  AV.VCU -  notif as received 0
15:41:18.295 [main] INFO  AV.VCU -  notif as received 0
15:41:18.362 [main] INFO  AV.VCU -  notif as received 0
15:41:18.416 [main] INFO  AV.VCU -  notif as received 0
15:41:18.475 [main] INFO  AV.VCU -  notif as received 0
15:41:18.524 [main] INFO  AV.VCU -  notif as received 0
15:41:18.581 [main] INFO  AV.VCU -  notif as received 0
15:41:18.631 [main] INFO  AV.VCU -  notif as received 0
speed36.37 time 3
15:41:18.641 [main] INFO  AV.VCU -  OSD 00 currentime 60.0
15:41:18.692 [main] INFO  AV.VCU -  notif as received 0
15:41:18.767 [main] INFO  AV.VCU -  notif as received 0
